document_tone/tones/0/score,document_tone/tones/0/tone_id,document_tone/tones/0/tone_name,document_tone/tones/1/score,document_tone/tones/1/tone_id,document_tone/tones/1/tone_name,document_tone/tones/2/score,document_tone/tones/2/tone_id,document_tone/tones/2/tone_name,document_tone/tones/3/score,document_tone/tones/3/tone_id,document_tone/tones/3/tone_name,document_tone/tones/4/score,document_tone/tones/4/tone_id,document_tone/tones/4/tone_name
0.622128,anger,Anger,0.729128,tentative,Tentative,0.793623,analytical,Analytical,,,,,,
0.795516,tentative,Tentative,,,,,,,,,,,,
0.586971,sadness,Sadness,,,,,,,,,,,,
0.574065,fear,Fear,0.526858,tentative,Tentative,,,,,,,,,
0.536195,anger,Anger,,,,,,,,,,,,
0.823015,sadness,Sadness,0.515601,analytical,Analytical,,,,,,,,,
0.525461,anger,Anger,0.561773,tentative,Tentative,,,,,,,,,
0.545514,sadness,Sadness,,,,,,,,,,,,
0.740365,joy,Joy,0.787843,analytical,Analytical,0.764224,tentative,Tentative,,,,,,
0.781498,sadness,Sadness,0.605338,tentative,Tentative,,,,,,,,,
0.760882,sadness,Sadness,,,,,,,,,,,,
0.556141,joy,Joy,0.882696,confident,Confident,,,,,,,,,
0.662131,joy,Joy,0.661088,tentative,Tentative,0.637874,analytical,Analytical,,,,,,
0.659167,anger,Anger,,,,,,,,,,,,
0.590808,joy,Joy,,,,,,,,,,,,
0.632931,joy,Joy,0.527921,tentative,Tentative,,,,,,,,,
0.570504,anger,Anger,,,,,,,,,,,,
0.525801,anger,Anger,0.822511,tentative,Tentative,,,,,,,,,
0.517738,anger,Anger,0.583147,joy,Joy,,,,,,,,,
0.73805,tentative,Tentative,,,,,,,,,,,,
0.616875,sadness,Sadness,0.553782,analytical,Analytical,,,,,,,,,
0.775648,sadness,Sadness,0.742866,analytical,Analytical,0.899169,tentative,Tentative,,,,,,
0.63775,sadness,Sadness,0.731284,tentative,Tentative,,,,,,,,,
0.887604,sadness,Sadness,,,,,,,,,,,,
0.563315,anger,Anger,0.793916,tentative,Tentative,,,,,,,,,
0.608545,joy,Joy,0.668556,tentative,Tentative,,,,,,,,,
0.595681,sadness,Sadness,0.595835,confident,Confident,,,,,,,,,
0.596409,sadness,Sadness,0.752761,tentative,Tentative,0.807561,analytical,Analytical,,,,,,
0.636692,sadness,Sadness,0.981524,confident,Confident,,,,,,,,,
0.511955,anger,Anger,0.550228,sadness,Sadness,0.718218,confident,Confident,,,,,,
0.502387,joy,Joy,0.570479,analytical,Analytical,,,,,,,,,
0.679735,joy,Joy,0.582892,tentative,Tentative,,,,,,,,,
,,,,,,,,,,,,,,
0.544591,anger,Anger,,,,,,,,,,,,
