artist,title,album,date,lyrics
Saves the Day,Cars & Calories,Stay What You Are,07/10/2001,"Her life was magazines and faithful TV screens
Selling an empty dream of cars and calories
Everything in between the sun and Saturn's ring
The price tag can't be seen

And it took bites out of her insides
'Til she was just a hollow shell

Grew up in east L.A
Watching celebrities
Living out all her dreams
The plastic canopy of U.S. royalty
Drew her gaze towards the sky
Away from her own mind

And it took bites out of her insides
'Til she was just a hollow shell

And at her home her mother cried
'Cause daddy had something on the side
They didn't look up when she sighed

When August came around
Bathing suits on the ground
Replaced by a cotton cloak
To see her own reflection was like squinting in the sun
And when all tomorrow brings is a set of broken wings

Well it takes bites out of your insides
'Til you are just a hollow shell
And it took bites out of her insides
'Til she was just a hollow shell"
Saves the Day,Certain Tragedy,Stay What You Are,07/10/2001,"And now I finally see that the further we go
We're only treading ground that we already know
I could write you a song
Send you a note
Or empty out your trash
And buy a bucket full of diamonds
But even the most beautiful of all roses
Must someday crumble to dust and fade away
It's certain tragedy

So, it's on into the lonely nights and all the rest of it
The empty space between me and the sunken walls
And feeling someone's hand around my neck
Choking away the life that I have left

And I can finally see that the further I go
I'm only treading ground I don't want to know
I'll probably hang upside down
From wooden rafters in my home
And look at old photos of you

So, it's on into the lonely nights and all the rest of it
The empty space between me and the sunken walls
And feeling someone's hand around my neck
Choking away the life that I have left

I miss the warmth of the summer
When we were on our own
But now it's winter and my bones are cold

And now I finally see that the further we go
We're only treading ground that we already know
I could write you a song
Send you a note
Or empty out your trash
And buy a bucket full of diamonds
But even the most beautiful of all roses
Must someday crumble to dust and fade away
It's certain tragedy"
Saves the Day,Firefly,Stay What You Are,07/10/2001,"I said I'd walk you home
After our third round
Of pouring whiskey down
The barrel of our guts
Grab hold of your hand
We're up and we're out
And we're yelling through the streets
And I'm out of my fucking mind

And I know you're next to me
But I must confess
What's in my head

Keep pumping now
Legs to beat the ground
And our hearts to beat the band
Sky's on fire again
Run down this alleyway
Lightning bolts again
We become fireflies
Just flashing at the ends
Rattle garbage cans
Prepare to be ravaged
By our lust, burning mad
To find that we've become

And I know you're under me
But I must confess
What's in my head

To me you are the light
From a light bulb  breaks sometimes
And the tender warmth inside
Is released into my life
To me you are the light
From a light bulb  breaks sometimes
And the tender warmth inside
Is released into my life

And it smothers me in flames
That lick and scorch my face
As the smoke reaches the sky
Know I'm burning tonight
Know I'm burning tonight
Know I'm burning tonight
Know I'm burning tonight
Know I'll burn for you tonight"
Saves the Day,Freakish,Stay What You Are,07/10/2001,"As I'm talking
My words slip to the floor
And they crawl through your legs
Slide under the back door
Rendering me freakish and dazed

Well, here I am
Don't know how to say this
Only thing I know is awkward silence
Your eyelids close when you're around me
To shut me out

So I'll go walking in the streets
'Til my heels bleed
And I'll sing out my song
In case the birds wish to sing along
And I'll dig a tunnel to the center of the universe

Well, here I am
Don't know how to say this
Only thing I know is awkward silence
Your eyelids close when you're around me
To shut me out

I'll make my way across the frozen sea
Beyond the blank horizon
Where I can forget you and me
And get a decent night's sleep

Well, here I am
Don't know how to say this
Only thing I know is awkward silence
Your eyelids close when you're around me
To shut me out
Well, here I am
Don't know how to say this
Only thing I know is awkward silence
Your eyelids close when you're around me
To shut me out

To shut me out
(Don't shut me out)
To shut me out
(Don't shut me out)
To shut me out
(Don't count me out)
To shut me out
(Don't shut me out)"
Saves the Day,Jukebox Breakdown,Stay What You Are,07/10/2001,"If you've got a quarter
You can stick it in my neck
Sing whatever song you want
For whatever mood you're in

Isn't that what you expect?
I can sing you to sleep

Got a mouth full of blood
And I'll carry this casket if it's what I have to do
So, bring on the dark sky
Let it cover me entirely

Isn't that what you expect?
I can sing you to sleep
And all you want from me
Is a broken heart

And I'll run down to the river
Grab five buckets of water
Wait right where you are
And I will serve you at your table
Hope you like my restaurant
And the lighting is right
The jukebox is in the corner
My mouth is the speaker
And it plays your favorite songs
And you know where the coin slot is

Isn't that what you expect?
I can sing you to sleep
And all you want from me
Is a broken heart
Isn't that what you expect?
I can sing you to sleep
And all you want from me
Is a broken heart
A broken heart"
Saves the Day,Nightingale,Stay What You Are,07/10/2001,"And I will flail under these lights
That seep down from the bitter sky tonight
And I will kick and beat my wrists together
And feel an ocean breathing waves
Feel them licking at my face
Ceilings don't exist
And there are no floors beneath me
If I were king of this night
Would you become my queen?

And I hope, your majesty
That you like your position
I'll do everything I can
To keep you by my side
And I'll stare off through the darkness
To find us a kingdom
Just kiss me before I go

I'll have to walk a thousand miles
Just to find the ground deserving of your feet
You could throw me down
And walk on me
And I'd just look on through my love
And through the haze

And I hope, your majesty
That you like your position
I'll do everything I can
To keep you by my side
And I'll stare off through the darkness
To find us a kingdom
Just kiss me before I go

The nightingales are singing loud
They're calling out our marriage
To our subjects on their knees
Their jewelry is thrown into the air
They sigh at the release
As their shackles hit the ground
The trumpets call out now
We're home at last

And I hope, your majesty
That you like your position
I'll do everything I can
To keep you by my side
And I'll stare off through the darkness
To find us a kingdom
Just kiss me before I go"
Saves the Day,See You,Stay What You Are,07/10/2001,"My gut is burning
Won't you find me some water?
Hey, just forget it can you bring me gasoline?
Collect a couple forks
Hold them three feet apart
Wait for lightning to strike to burn me up

'Cause I don't think that I have got the stomach
To stomach calling you today

My head is swirling
Been carried off in the sky
And where it lands is where it lands
I guess that I will get another head
Then get on with my life
Leave you somewhere beneath the waves of time
And I'll wear glass shoes and plastic wrap
No, I'll just wear my insides
You want to know who I really am?
Yeah, so do I
Yeah, so do I

'Cause I don't think that I have got the stomach
To stomach calling you today
And I don't think that I have got the stomach
To stomach calling you today
Right now, I am turning off the lights
'Cause I don't think
I have got the stomach to stomach calling you today
And I don't think that I have got the stomach
To stomach calling you today
I don't think that I have got the stomach
To stomach calling you today"
Saves the Day,This Is Not an Exit,Stay What You Are,07/10/2001,"Tonight will be the night that we begin to ease the plugs out of the dam
And we will stand knee deep in the flow
The undertow will grab our heels and won't let go
And while we hold, our legs quivering
The water rises now to our teeth when we just let go

And sail belly up to the clouds, the rocks scraping our backs
To breathe in the air will be the only thing that we have

And all the wasted nights and empty moments in our lives
Are flushed away as we sway with the rhythm of the waves bobbing us up
Crests fall to troughs as we feel our gills open up

And sail belly up to the clouds, the rocks scraping our backs
To breathe in the air will be the only thing that we have

And if the hook sets in the bottom of our lungs
We'll rip it out and lick the blood off with our tongues

Despair can ravage you if you turn your head around
To look down the path that's lead you here, cause what can you change?
You're a vessel now floating down the waterways
You can take your rudder and aim your ship
Just don't bother with the things left in your wake

Just sail belly up to the clouds, the rocks scraping your back
To breathe in the air will be the only thing that you have
And your love will be warm nights with pockets of moonlight
Spotlighting you as you drift, the actor in this play
And you walk across the stage, take a bow, hear the applause
And as the curtain falls, just know you did it all
The best that you knew how and you can hear them cheering now
So let a smile out and show your teeth cause you know you lived it well"
Jimmy Eat World,Cautioners,Bleed American (Jimmy Eat World),07/24/2001,"The time I would spend with pictures I would not send
I watched you go from left to right
I followed you all night across my blinds

You'll change your mind come Monday and turn your back on me
You'll take your steps away with hesitance
You'll take your steps away from me

I'm making my peace, I'm making it with distance
Maybe that's a big mistake
You know I'm thinking of you
I miss you

You'll change your mind come Monday and turn your back on me
You'll take your steps away with hesitance
You'll take your steps away from me


You'll change your mind come Monday and turn your back on me
You'll take your steps away with hesitance
You'll take your steps away from me"
Jimmy Eat World,Get It Faster,Bleed American (Jimmy Eat World),07/24/2001,"I don't care what you do
I'm getting out, no nothing ever shames me
Don't want a thing from you
I'm going out, I don't care if you're angry

I'm getting out, no nothing ever shames me
I'm going out, I don't care if you're angry

I should have thought things through
I'm holding out, but not getting an answer
I want to do right by you
I'm finding out, cheating gets it faster

I'm holding out, not getting an answer
I'm finding out that cheating gets it faster
I'm holding out, not getting an answer
I'm finding out, cheating gets it faster

I don't care what you do
I'm getting out, no nothing ever shames me
Don't want a thing from you
I'm going out, I don't care if you're angry

I should have thought things through
Yeah I'm holding out, but not getting an answer
I want to do right by you
I'm finding out that cheating gets it faster

I'm getting out, no nothing ever shames me
I'm going out, I don't care if you're angry
I'm holding out, but not getting an answer
I'm finding out, cheating gets it faster"
Jimmy Eat World,Hear You Me,Bleed American (Jimmy Eat World),07/24/2001,"There's no one in town I know
You gave us some place to go
I never said thank you for that
I thought I might get one more chance

What would you think of me now
So lucky so strong so proud?
I never said thank you for that
Now I'll never have a chance

May angels lead you in
Hear you me my friends
On sleepless roads the sleepless go
May angels lead you in


So what would you think of me now
So lucky so strong so proud?
I never said thank you for that
Now I'll never have a chance

May angels lead you in
Hear you me my friends
On sleepless roads the sleepless go
May angels lead you in

(May angels lead you in)
May angels lead you in
(May angels lead you in)
May angels lead you in


And if you were with me tonight
I'd sing to you just one more time
A song for a heart so big
God wouldn't let it live

May angels lead you in
Hear you me my friends
On sleepless roads the sleepless go
May angels lead you in
May angels lead you in
Hear you me my friends
On sleepless roads the sleepless go
May angels lead you in

On sleepless roads the sleepless go
May angels lead you in"
Jimmy Eat World,"If You Don't, Don't",Bleed American (Jimmy Eat World),07/24/2001,"What's wrong baby?
Don't they treat you like they should?
Did you take them for it?
For every penny that you could?
We once walked out on the beach and once I almost touched your hand
Oh how I dreamed to finally say such things
Then only to pretend

Don't you know I'm thinking (know I'm thinking)
Driving 405 past midnight
You know I miss you (don't you know that I miss you?)
Ninth and Ash on a Tuesday night
I would write to you from Museum Mile
A toast to you: your whisper, your smile
Up the stairs at Weatherford
A ghost each place I hide

If you don't, don't know, why would you say so?
Would you mean this please if it happens?
If you don't know, why would you say so?
Won't you get your story straight
If you don't know, honey, why'd you just say so?
'Cause I need this now more than I ever did
If you don't well, honey, then you don't

I left you waiting (I know I left you waiting)
At the least could we be friends?
Should have never started (never started)
Ain't that the way it always ends?
On my life I'll try today
There's so much I've felt I should say but
Even if your heart would listen
I doubt I could explain

If you don't don't know, why'd you say so?
Would you mean this please if it happens?
If you don't know, why would you say so?
Won't you get your story straight?
If you don't know, honey, why'd you just say so?
'Cause I need this now more than I ever did
If you don't well, honey, then you don't
If you don't well, honey, then you don't


So here we are now
A sip of wine a sip of water
Someday maybe
Maybe someday we'll be smarter
And I'm sorry that I'm such a mess
I drank all my money could get and
Took everything you let me have
And then I never loved you back

If you don't don't know, why would you say so?
Would you mean the please if it happens?
If you don't know, why would you say so?
Won't you get your story straight?
If you don't know, honey, why'd you just say so?
'Cause I need this now, now need this, need this
If you don't well, honey, then you don't
If you don't know, honey, then you don't
And if you don't well, honey, then you don't

If you don't know, honey, honey, then you don't"
Jimmy Eat World,My Sundown,Bleed American (Jimmy Eat World),07/24/2001,"I see it around me, I see it in everything
I could be so much more than this

I said my goodbyes, this is my sundown
I'm going to be so much more than this

With one hand high, you'll show them your progress
You'll take your time, but no one cares
No one cares
No one cares

I need you to show me the way from crazy
I want to be so much more than this

With one hand high, you'll show them your progress
You'll take your time, but no one cares
With one hand high, you'll show them your progress
You'll take your time, but no one cares
No one cares

I could be so much more than this
No one cares
I want to be so much more than this
No one cares
I could be so much more than this
No one cares
I want to be so much more than this
No one cares
I want to be so much more than this
No one cares
I want to be so much more than this

Good goodbye, lovely time
Good goodbye, tinsel shine
Good goodbye, I'll be fine
Good goodbye, good goodnight"
Jimmy Eat World,The Authority Song,Bleed American (Jimmy Eat World),07/24/2001,"It's how the hustle goes
See what the jukebox knows
Put my last quarter on
I'll play ""Authority Song""

Honesty or mystery?
Tell me I'm not scared anymore (I, I)
I got no secret purpose
I don't seem obvious, do I? (Do I, do I?)
I don't seem obvious, do I? (Do I, do I?)
I don't seem obvious do...

The DJ never has it
J.M.C. ""Automatic"" (Do I?)
If those were Roy's headphones
You bet he'd play ""What Goes On"" (Do I?)

Honesty or mystery?
Tell me I'm not scared anymore (I, I)
I got no secret purpose
I don't seem obvious do I? (Do I, do I?)
I don't seem obvious, do I? (Do I, do I?)
I don't seem obvious do I? Do I?

Oh, well I'm here, that means something doesn't it?
Oh, won't you dance with me a little bit?
Oh, you don't notice, cause the music's too loud

It's how the hustle goes
See what the jukebox knows (Do I, do I?)
Put my last quarter on
I'll play ""Authority Song"" (Do I?)

Honesty or mystery?
Tell me I'm not scared anymore (I, I)
Say anything you want already I'm not scared anymore (I, I)
Honesty or mystery, want something else?
Just tell me I'm not scared anymore (I, I)
I got no secret purpose
I don't seem obvious, do I? (Do I?)

I don't seem obvious, do I? (Do I?)
I don't seem obvious, do I? (Do I?)
I don't seem obvious, do I? (Do I?)
I don't seem obvious, do I? (Do I?)
I don't seem obvious, do I? (Do I?)
I don't seem obvious, do I? (Do I?)
I don't seem obvious, do I? (Do I?)"
Jimmy Eat World,Your House,Bleed American (Jimmy Eat World),07/24/2001,"When you're on, I swear you're on
You rip my heart right out
You rip my heart right out
I think the whole room can hear me clear my throat
You rip my heart right out
You rip my heart right out

If you still care at all, don't go, tell me now
If you love me at all, don't call

Then out of nowhere, put me right back there
Rip my heart out, you rip my heart right out
And we know what happens when we get to your house
You'll rip my heart out, you'll rip my heart right out

If you still care at all, don't go, tell me now
If you love me at all, please don't tell me now
If you still care at all, don't go, tell me now
If you love me at all, don't call

Well, I throw away everything I've written you
Oh, anything, just keep my mind off of thinking how I had you once
Oh, I can't forget that
Sometimes, I wish I could lose you again

You're winning me over with everything you say
You rip my heart right out
You rip my heart right out
When I let you closer, I only want you closer
You rip my heart right out
You rip my heart right out

If you still care at all, don't go, tell me now
If you love me at all, please don't tell me now
Yeah, if you still care at all, don't go, tell me now
And if you love me at all, don't call

If you love me at all
If you love me at all
If you love me at all
If you love me at all
If you love me at all
If you love me at all
If you love me at all
If you love me at all
If you love me at all
If you love me at all
If you love me at all
If you love me at all
If you love me at all
If you love me at all"
Jimmy Eat World,Bleed American,Bleed American (Jimmy Eat World),09/24/2001,"I'm not alone 'cause the TV's on, yeah
I'm not crazy 'cause I take the right pills every day
And rest, clean your conscience, clear your thoughts with Speyside with your grain
Clean your conscience, clear your thoughts with Speyside

Salt, sweat, sugar on the asphalt
Our hearts littering the topsoil
Tune in and we can get the last call
Our lives, our coal
Salt, sweat, sugar on the asphalt
Our hearts littering the topsoil
Sign up, it's the picket line or the parade
Our lives

I'm not alone 'cause the TV's on, yeah
I'm not crazy 'cause I take the right pills every day
And rest, clean your conscience, clear your thoughts with Speyside with your grain
Clean your conscience, clear your thoughts with Speyside

Salt, sweat, sugar on the asphalt
Our hearts littering the topsoil
Tune in and we can get the last call
Our lives, our coal
Salt, sweat, sugar on the asphalt
Our hearts littering the topsoil
Sign up, it's the picket line or the parade
Our lives

(I bled the) greed from my arm
Won't they give it a rest now?
(Give it a rest now)
Now, now, now

Salt, sweat, sugar on the asphalt
Our hearts littering the topsoil
Tune in and we can get the last call
Our lives, our coal
Salt, sweat, sugar on the asphalt
Our hearts littering the topsoil
Sign up, it's the picket line or the parade
Our lives, our coal"
Blink-182,First Date,Take Off Your Pants and Jacket,10/08/2001,"In the car, I just can't wait
To pick you up on our very first date
Is it cool if I hold your hand?
Is it wrong if I think it's lame to dance?
Do you like my stupid hair?
Would you guess that I didn't know what to wear?
I'm too scared of what you think
You make me nervous, so I really can't eat

Let's go, don't wait, this night's almost over
Honest, let's make this night last forever
Forever and ever, let's make this last forever
Forever and ever, let's make this last forever

When you smile, I melt inside
I'm not worthy for a minute of your time
I really wish it was only me and you
I'm jealous of everybody in the room
Please don't look at me with those eyes
Please don't hint that you're capable of lies
I dread the thought of our very first kiss
A target that I'm probably gonna miss

Let's go, don't wait, this night's almost over
Honest, let's make this night last forever
Forever and ever, let's make this last forever
Forever and ever, let's make this last forever


Let's go, don't wait, this night's almost over
Honest, let's make this night last forever
Forever and ever, let's make this last forever
Forever and ever, let's make this last forever

Forever and ever, let's make this last forever
Forever and ever, let's make this last forever"
Jimmy Eat World,The Middle,Bleed American (Jimmy Eat World),11/05/2001,"Hey
Don't write yourself off yet
It's only in your head you feel left out or looked down on
Just try your best
Try everything you can
And don't you worry what they tell themselves when you're away

It just takes some time
Little girl, you're in the middle of the ride
Everything, everything will be just fine
Everything, everything will be all right, all right

Hey
You know they're all the same
You know you're doing better on your own so don't buy in
Live right now
Yeah just be yourself
It doesn't matter if it's good enough for someone else

It just takes some time
Little girl, you're in the middle of the ride
Everything, everything will be just fine
Everything, everything will be all right, all right
It just takes some time
Little girl, you're in the middle of the ride
Everything, everything will be just fine
Everything, everything will be all right, all right
Woo!

Hey!
Don't write yourself off yet
It's only in your head you feel left out or looked down on
Just do your best
Do everything you can
And don't you worry what their bitter hearts are gonna say

It just takes some time
Little girl, you're in the middle of the ride
Everything, everything will be just fine
Everything, everything will be all right, all right
It just takes some time
Little girl, you're in the middle of the ride
Everything, everything will be just fine
Everything, everything will be all right"
The Distillers,Warriors,Old Skars & Upstarts 2001,11/14/2001,"Your sun is setting and the day is late
As we walk over this wasteland of hate
There's people getting angry in these darkest hours
There's blood on the streets and the streets are ours
Warriors, never forget the Warriors
Our mates are diamond and we shine like steel
You can't beat us down the wounds will never heal
You can't take us for a ride
You can't rob a warrior of his pride
It's your hate on which we feed
We are the new class we are the new breed
Send our regards to a nation on fire
And with love a bouquet of barbed wire
From the Warriors
Your sun is setting and the day is late
As we walk over this wasteland of hate
There's people getting angry in these darkest hours
There's blood on the streets and the streets are ours
Warriors, never forget the Warriors
Our mates are diamond and we shine like steel
You can't beat us down the wounds will never heal
You can't take us for a ride
You can't rob a warrior of his pride
It's your hate on which we feed
We are the new class we are the new breed
Send our regards to a nation on fire
And with love a bouquet of barbed wire
From the Warriors"
Sum 41,In Too Deep,All Killer No Filler,12/03/2001,"The faster we're falling
We're stopping and stalling
We're running in circles again
Just as things were looking up
You said it wasn't good enough
But still, we're trying one more time

Maybe we're just trying too hard
When really, it's closer than it is too far

'Cause I'm in too deep, and I'm trying to keep
Up above in my head, instead of going under
'Cause I'm in too deep, and I'm trying to keep
Up above in my head, instead of going under
Instead of going under

Seems like each time I'm with you
I lose my mind
Because I'm bending over backwards to relate
It's one thing to complain
But when you're driving me insane
Well, then, I think it's time that we took a break

Maybe we're just trying too hard
When really, it's closer than it is too far

'Cause I'm in too deep, and I'm trying to keep
Up above in my head, instead of going under
'Cause I'm in too deep, and I'm trying to keep
Up above in my head, instead of going under
Instead of going under (instead of going under)
Instead of going under

I can't sit back and wonder why
It took so long for this to die
And I hate it when you fake it
You can't hide it, you might as well embrace it
So believe me, it's not easy
It seems that something's telling me

I'm in too deep, and I'm trying to keep
Up above in my head, instead of going under
'Cause I'm in too deep, and I'm trying to keep
Up above in my head, instead of going under
Instead of going under
Instead of going under again

Instead of going under
Instead of going under again
Instead of going under again
Instead of going under again"
The Ergs,Ben Kweller,The Ben Kweller EP,01/01/2002,"I wish I were Ben Kweller
Cause he writes those cool tunes
And he uses those cool minor chords
And you love the way he croons
You love the way he plays guitar and the way he blows his harp
If I were Ben Kweller I know I could win your heart
I wish I were Ben Kweller
Then I could be with you
Cause he knows Juliana, girl And Evan Dando too
He used to be in Radish Your favorite alternative band
If I were Ben Kweller I know I could hold your hand
I'd sit outside your window
And sing the song that goes Sha Sha, Sha Doo
Cause I wanna be with you
I wish I were Ben Kweller
Cause he writes those cool tunes
And he uses those cool minor chords
And you love the way he croons
He used to be in Radish Your favorite sugar-metal band
If I were Ben Kweller I know I could hold your hand"
The Ergs,I'll Call You When You Think of Me,The Ben Kweller EP,01/01/2002,"I take things to mean exactly the opposite
Of what they should truly mean
A pleasant coincidence becomes
Us being like true soul mates
But were not that at all
We're just friends
Or when we drive through the snow
Were Just Friends
Or undressing in my head Were just friends
And that's alright by me..."
The Ergs,Obligatory Song About Killing One's Boyfriend,The Ben Kweller EP,01/01/2002,"Lemme tell you 'bout your stupid boyfriend
He's a loser and you know its true
I know you'll be disheartened if you lose him
But this is something I just have to do
'Cause I've loved you since the day I first saw you
Grace the floorboards of a Punk Rock Show (sorry Norb...)
And I truly, absolutely adore you
So you understand, he has to go
I don't know exactly how to tell you this..
I'm gonna kill your boyfriend
I don't know exactly how to pull it off but
He's gotta go and you've gotta be my girl!
Lemme tell you bout the things I'll give you
I'll tell you all the things you want to hear
Like about the times I kissed your picture
And these feelings I get when you're near
This obsession's got me pining for you
It's unhealthy yeah, I gotta say
But that Motherfucker really loves you
So that Motherfucker has to pay"
The Ergs,When You're Squeeze,The Ben Kweller EP,01/01/2002,"She's imperfect running down the sides
She must be your favorite place to hide
I get so torn up inside
Top down-DEVO-two hour ride
I hope she doesn't get too angry
Everything I think is not cool
What if I said I was unhappy
Wind in my hair getting so annoyed
75-HOW DO YOU AVOID?
Reading cartoon books about Freud
If I said a thing we'd all be destroyed
So I try to act natural
But I look so nervous
You really get my stomach turning
If I said, ""I'm fine,""
I would be the biggest liar that you have ever seen
Writing songs about fish and chips
When you're Squeeze you can do anything"
Alkaline Trio,Good Fucking Bye,Matt Skiba & Kevin Seconds Split CD,01/01/2002,"So you broke down, trying to leave town
I broke down crying on your return
You left me feeling hopeful
I'll never see your face again
You made for a bad lover's liver
You stole all the covers and busted my head
You made me such an asshole
I wish we'd never met
I'm tired of being bored
I'm through with the headaches
Hiding my hands that tremble like earthquakes
Under the table, under the daytime sky
Good Fucking Bye
And when you lose hope
It's hard to cope
Watching the tyranny with sober eyes
The daybreak and sunset
All hours in between are spent murdering time
You made for a bad lover's liver
You stole all the covers and fucked up my head
You made me such an asshole
I wish we'd never met
I'm tired of being bored
I'm through with the headaches
Hiding my hands that tremble like earthquakes
Under the table, under the daytime sky
Good Fucking Bye"
Bad Religion,Sorrow,The Process of Belief,01/22/2002,"Father, can you hear me?
How have I let you down?
I curse the day that I was born
And all the sorrow in this world
Let me take you to the herding ground
Where all good men are trampled down
Just to settle a bet that could not be won
Between a prideful father and his son
Will you guide me now, for I can't see
A reason for the suffering and this long misery
What if every living soul could be upright and strong?
Well then I do imagine
There will be sorrow
Yeah, there will be sorrow
And there will be sorrow no more
When all soldiers lay their weapons down
Or when all kings and all queens relinquish their crowns
Or when the only true messiah rescues us from ourselves
It's easy to imagine
There will be sorrow
Yeah, there will be sorrow
And there will be sorrow no more
There will be sorrow
Yeah, there will be sorrow
And there will be sorrow no more
Yeah, there will be sorrow
Yeah, there will be sorrow
And there will be sorrow no more"
Bad Religion,Supersonic,The Process of Belief,01/22/2002,"Well am I making haste or could it be haste is making me?
What's time but a thing to kill
Or keep or buy or lose or live in?
I gotta go faster, keep up the pace
Just to stay in the human race
I could go supersonic
The problem's chronic
Tell me, does life exist beyond it?
When I need to sate
I just accelerate into oblivion
Into oblivion
Now here I go again, everything is alien
How does it feel
To be outstripped by the pace of cultural change?
My deeds are senseless and rendered meaningless
When measured in that vein
I could go supersonic
The problem's chronic
Tell me does life exist beyond it?
When I need to sate
I just accelerate into oblivion
I won't lie (pace setters, go getters)
It's exciting (rat racers, forgetters)
When I try (researchers, berserkers)
To decide things (strategies to help the workers)
I just want to live (new time saving devices)
Decently (quick vices, no crisis)
Meaningfully (brevity dependency)
I'm in misery (digital efficiency)
I could go supersonic
The problem's chronic
Tell me does life exist beyond it
When I need to sate
I just accelerate into oblivion
Into oblivion"
Simple Plan,I'm Just a Kid,"No Pads, No Helmets... Just Balls",02/19/2002,"I woke up, it was 7
I waited 'til 11
Just to figure out that no one would call
I think I've got a lot of friends, but I don't hear from them
What's another night all alone?
When you're spending everyday on your own
And here it goes

I'm just a kid and life is a nightmare
I'm just a kid, I know that it's not fair
Nobody cares, 'cause I'm alone and the world is
Having more fun than me
Tonight

And maybe when the night is dead
I'll crawl into my bed
I'm staring at these four walls again
I'll try to think about the last time I had a good time
Everyone's got somewhere to go
And they're gonna leave me here on my own
And here it goes

I'm just a kid and life is a nightmare
I'm just a kid, I know that it's not fair
Nobody cares, 'cause I'm alone and the world is
Having more fun than me

What the hell is wrong with me?
Don't fit in with anybody
How did this happen to me?
Wide awake I'm bored and I can't fall asleep
And every night is the worst night ever

I'm just a kid, I'm just a kid
I'm just a kid, I'm just a kid
Yeah, I'm just a kid
I'm just a kid, I'm just a kid
And I'm just a kid
I'm just a kid, I'm just a kid

I'm just a kid and life is a nightmare
I'm just a kid, I know that it's not fair
Nobody cares, 'cause I'm alone and the world is
Nobody wants to be alone in the world
I'm just a kid and life is a nightmare
I'm just a kid, I know that it's not fair
Nobody cares, 'cause I'm alone and the world is
Nobody wants to be alone in the world
Nobody cares, 'cause I'm alone and the world is
Having more fun than me tonight

I'm all alone tonight
Nobody cares tonight
'Cause I'm just a kid tonight"
Blink-182,Stay Together for the Kids,Take Off Your Pants and Jacket,02/19/2002,"It's hard to wake up, when the shades have been pulled shut
This house is haunted, it's so pathetic, it makes no sense at all
I'm ripe with things to say, the words rot and fall away
What stupid poem could fix this home, I'd read it every day

So here's your holiday
Hope you enjoy it this time, you gave it all away
It was mine, so when you're dead and gone
Will you remember this night, twenty years now lost
It's not right

Their anger hurts my ears, been running strong for seven years
Rather than fix the problems, they never solve them, it makes no sense at all
I see them everyday, we get along so why can't they?
If this is what he wants, and it's what she wants, then why is there so much pain?

So here's your holiday
Hope you enjoy it this time, you gave it all away
It was mine, so when you're dead and gone
Will you remember this night, twenty years now lost
It's not right

So here's your holiday
Hope you enjoy it this time, you gave it all away
It was mine, so when you're dead and gone
Will you remember this night, twenty years now lost
It's not right
It's not right
It's not right
It's not right"
Sum 41,Motivation,All Killer No Filler,03/12/2002,"What's the difference of never knowing at all
When every step I take is always too small
Maybe it's just something I can't admit but lately
I feel like I don't give a shit

Motivation such an aggravation
Accusations don't know how to take them
Inspiration's getting hard to fake it
Concentration never hard to break it
Situation never what you want it to be

What's the point of never making mistakes
Self-indulgence is such a hard habit to break
It's all just a waste of time in the end
I don't care, so why should I even pretend

Motivation such an aggravation
Accusations don't know how to take them
Inspiration's getting hard to fake it
Concentration never hard to break it
Situation never what you wanted

Nothing's new, everything's the same
It keeps on dragging me down, it's getting kind of lame
I'm falling further behind, there's nothing to explain
No matter what you say nothing's gonna change my mind

Can't depend on doubt until the end
It seems like leaving friends has become this years trend
And though I can't pretend, afraid to be this way
It's not the same but who's to blame
For all those stupid things I never said

Motivation such an aggravation
Accusations don't know how to take them
Inspiration's getting hard to fake it
Concentration never hard to break it
Motivation such an aggravation
Accusations don't know how to take them
Inspiration's getting hard to fake it
Concentration
Situation never what you want it to be

Never what you want it to be
Never what you want it to be"
Simple Plan,God Must Hate Me,"No Pads, No Helmets... Just Balls",03/19/2002,"Last night I just wanted to have fun
To go out with my friends
I took my dad's car
I never thought he would find out
But I crashed in a wall
Man, I'm dead

I guess it's no use
I'm screwing up every little thing I ever try to do
I'm born to lose
Yeah, yeah, yeah, yeah

God must hate me
Cursed me for eternity
God must hate me
Maybe you should pray for me
I'm breaking down and you can't save me
I'm stuck in hell
And I wanna go home
I wanna go home

Last night I had to study for this test
I forgot, man, I'm dead
And now my brain is bursting out of, of my head
I can't think, I can't breathe
Once again

I guess it's no use
I'm screwing up every little thing I ever try to do
I'm born to lose
Yeah, yeah, yeah, yeah

God must hate me
Cursed me for eternity
God must hate me
Maybe you should pray for me
I'm breaking down and you can't save me
I'm stuck in hell
And I wanna go home

So what in the world am I supposed to do?
I never did anything to you
So can't you find something else to do?

God must hate me
Cursed me for eternity
God must hate me
Maybe you should pray for me
I'm breaking down and you can't save me
I'm stuck in hell and
I wanna go home
(God must hate me)
I wanna go home
(God must hate me)
I wanna go home
(God must hate me)
I wanna go home
(God must hate me)
I wanna go home
You can't save me
God must hate me now"
