ranking,album,artist,date,,
174,catalyst,new found glory,10/2/2004,,
191,catalyst,new found glory,10/9/2004,,
5,chase this light,jimmy eat world,11/3/2007,,
38,chase this light,jimmy eat world,11/10/2007,,
66,chase this light,jimmy eat world,11/17/2007,,
98,chase this light,jimmy eat world,11/24/2007,,
128,chase this light,jimmy eat world,12/1/2007,,
161,chase this light,jimmy eat world,1/19/2008,,
167,chase this light,jimmy eat world,1/12/2008,,
174,chase this light,jimmy eat world,12/8/2007,,
184,chase this light,jimmy eat world,1/26/2008,,
191,chase this light,jimmy eat world,12/15/2007,,
10,chuck,sum 41,10/30/2004,,
26,chuck,sum 41,11/6/2004,,
41,chuck,sum 41,11/13/2004,,
53,chuck,sum 41,11/20/2004,,
82,chuck,sum 41,11/27/2004,,
98,chuck,sum 41,1/15/2005,,
105,chuck,sum 41,12/4/2004,,
112,chuck,sum 41,12/11/2004,,
130,chuck,sum 41,12/18/2004,,
131,chuck,sum 41,12/25/2004,,
135,chuck,sum 41,1/1/2005,,
138,chuck,sum 41,2/5/2005,,
138,chuck,sum 41,1/8/2005,,
145,chuck,sum 41,1/22/2005,,
147,chuck,sum 41,2/12/2005,,
150,chuck,sum 41,2/19/2005,,
155,chuck,sum 41,1/29/2005,,
159,chuck,sum 41,3/19/2005,,
161,chuck,sum 41,4/2/2005,,
166,chuck,sum 41,4/9/2005,,
167,chuck,sum 41,3/26/2005,,
171,chuck,sum 41,3/12/2005,,
171,chuck,sum 41,3/5/2005,,
175,chuck,sum 41,2/26/2005,,
178,chuck,sum 41,4/16/2005,,
200,chuck,sum 41,5/7/2005,,
36,coaster,nofx,5/16/2009,,
100,coaster,nofx,5/23/2009,,
120,coaster,nofx,5/30/2009,,
178,coaster,nofx,6/6/2009,,
199,coaster,nofx,6/13/2009,,
192,cody,joyce manor,10/29/2016,,
110,comet,the bouncing souls,6/30/2012,,
19,coming home,new found glory,10/7/2006,,
67,coming home,new found glory,10/14/2006,,
101,coming home,new found glory,10/21/2006,,
112,coming home,new found glory,10/28/2006,,
146,coming home,new found glory,11/4/2006,,
182,coming home,new found glory,11/11/2006,,
37,common courtesy,a day to remember,1/11/2014,,
46,common courtesy,a day to remember,1/18/2014,,
47,common courtesy,a day to remember,12/21/2013,,
50,common courtesy,a day to remember,1/25/2014,,
73,common courtesy,a day to remember,2/1/2014,,
83,common courtesy,a day to remember,12/28/2013,,
97,common courtesy,a day to remember,2/8/2014,,
98,common courtesy,a day to remember,1/4/2014,,
119,common courtesy,a day to remember,3/8/2014,,
120,common courtesy,a day to remember,2/15/2014,,
128,common courtesy,a day to remember,2/22/2014,,
138,common courtesy,a day to remember,3/15/2014,,
138,common courtesy,a day to remember,3/1/2014,,
159,common courtesy,a day to remember,3/22/2014,,
164,common courtesy,a day to remember,3/29/2014,,
9,conspiracy of one,the offspring,12/2/2000,,
28,conspiracy of one,the offspring,1/13/2001,,
29,conspiracy of one,the offspring,12/9/2000,,
36,conspiracy of one,the offspring,12/30/2000,,
36,conspiracy of one,the offspring,12/16/2000,,
39,conspiracy of one,the offspring,1/20/2001,,
39,conspiracy of one,the offspring,12/23/2000,,
40,conspiracy of one,the offspring,1/6/2001,,
52,conspiracy of one,the offspring,1/27/2001,,
58,conspiracy of one,the offspring,2/3/2001,,
66,conspiracy of one,the offspring,2/10/2001,,
76,conspiracy of one,the offspring,2/17/2001,,
84,conspiracy of one,the offspring,2/24/2001,,
85,conspiracy of one,the offspring,3/3/2001,,
95,conspiracy of one,the offspring,3/10/2001,,
102,conspiracy of one,the offspring,3/17/2001,,
111,conspiracy of one,the offspring,3/24/2001,,
123,conspiracy of one,the offspring,3/31/2001,,
137,conspiracy of one,the offspring,4/7/2001,,3
145,conspiracy of one,the offspring,4/14/2001,,
162,conspiracy of one,the offspring,4/28/2001,,
162,conspiracy of one,the offspring,4/21/2001,,
181,conspiracy of one,the offspring,5/5/2001,,
193,conspiracy of one,the offspring,5/12/2001,,
97,coral fang,the distillers,11/1/2003,,
12,crash love,afi,10/17/2009,,
60,crash love,afi,10/24/2009,,
68,crash love,afi,10/31/2009,,
104,crash love,afi,11/7/2009,,
141,crash love,afi,11/14/2009,,
154,crash love,afi,11/21/2009,,
178,crash love,afi,11/28/2009,,
25,crimson,alkaline trio,6/11/2005,,
86,crimson,alkaline trio,6/18/2005,,
111,crimson,alkaline trio,6/25/2005,,
144,crimson,alkaline trio,7/2/2005,,
154,crimson,alkaline trio,7/9/2005,,
182,crimson,alkaline trio,7/16/2005,,
189,crimson,alkaline trio,7/23/2005,,
100,daybreak,saves the day,10/1/2011,,
12,days go by,the offspring,7/14/2012,,
66,days go by,the offspring,7/21/2012,,
107,days go by,the offspring,7/28/2012,,
128,days go by,the offspring,8/4/2012,,
149,days go by,the offspring,8/11/2012,,
166,days go by,the offspring,9/22/2012,,
1,decemberunderground,afi,6/24/2006,,
3,decemberunderground,afi,7/1/2006,,
9,decemberunderground,afi,7/8/2006,,
12,decemberunderground,afi,7/15/2006,,
16,decemberunderground,afi,7/22/2006,,
19,decemberunderground,afi,7/29/2006,,
21,decemberunderground,afi,8/5/2006,,
23,decemberunderground,afi,8/12/2006,,
30,decemberunderground,afi,8/19/2006,,
38,decemberunderground,afi,8/26/2006,,
42,decemberunderground,afi,9/2/2006,,
51,decemberunderground,afi,9/9/2006,,
62,decemberunderground,afi,9/23/2006,,
63,decemberunderground,afi,9/16/2006,,
74,decemberunderground,afi,1/13/2007,,
79,decemberunderground,afi,1/20/2007,,
79,decemberunderground,afi,9/30/2006,,
94,decemberunderground,afi,10/7/2006,,
103,decemberunderground,afi,10/14/2006,,
104,decemberunderground,afi,12/30/2006,,
109,decemberunderground,afi,1/27/2007,,
111,decemberunderground,afi,1/6/2007,,
114,decemberunderground,afi,12/23/2006,,
115,decemberunderground,afi,10/21/2006,,
116,decemberunderground,afi,11/4/2006,,
117,decemberunderground,afi,2/3/2007,,
120,decemberunderground,afi,11/25/2006,,
122,decemberunderground,afi,10/28/2006,,
125,decemberunderground,afi,11/11/2006,,
133,decemberunderground,afi,11/18/2006,,
139,decemberunderground,afi,2/10/2007,,
146,decemberunderground,afi,12/2/2006,,
151,decemberunderground,afi,2/17/2007,,
158,decemberunderground,afi,12/16/2006,,
161,decemberunderground,afi,12/9/2006,,
187,decemberunderground,afi,2/24/2007,,
192,decemberunderground,afi,3/10/2007,,
194,decemberunderground,afi,3/3/2007,,
6,dirty work,all time low,6/25/2011,,
32,does this look infected?,sum 41,12/14/2002,,
46,does this look infected?,sum 41,1/11/2003,,
48,does this look infected?,sum 41,1/18/2003,,
51,does this look infected?,sum 41,12/21/2002,,
56,does this look infected?,sum 41,1/25/2003,,
59,does this look infected?,sum 41,2/1/2003,,
59,does this look infected?,sum 41,1/4/2003,,
59,does this look infected?,sum 41,12/28/2002,,
64,does this look infected?,sum 41,2/8/2003,,
76,does this look infected?,sum 41,2/15/2003,,
103,does this look infected?,sum 41,2/22/2003,,
126,does this look infected?,sum 41,3/29/2003,,
127,does this look infected?,sum 41,3/1/2003,,
129,does this look infected?,sum 41,5/3/2003,,
131,does this look infected?,sum 41,4/26/2003,,
133,does this look infected?,sum 41,5/10/2003,,
133,does this look infected?,sum 41,3/8/2003,,
137,does this look infected?,sum 41,4/19/2003,,
142,does this look infected?,sum 41,3/22/2003,,
143,does this look infected?,sum 41,4/5/2003,,
144,does this look infected?,sum 41,4/12/2003,,
150,does this look infected?,sum 41,3/15/2003,,
160,does this look infected?,sum 41,5/17/2003,,
168,does this look infected?,sum 41,5/24/2003,,
172,does this look infected?,sum 41,5/31/2003,,
197,does this look infected?,sum 41,6/14/2003,,
197,does this look infected?,sum 41,6/7/2003,,
6,don't panic,all time low,10/27/2012,,
2,dookie,green day,2/4/1995,,
2,dookie,green day,1/28/1995,,
3,dookie,green day,3/11/1995,,
3,dookie,green day,3/4/1995,,
3,dookie,green day,2/11/1995,,
4,dookie,green day,2/25/1995,,
4,dookie,green day,2/18/1995,,
4,dookie,green day,1/14/1995,,
4,dookie,green day,9/24/1994,,
4,dookie,green day,9/10/1994,,
5,dookie,green day,3/18/1995,,
5,dookie,green day,1/21/1995,,
5,dookie,green day,10/29/1994,,
5,dookie,green day,10/1/1994,,
5,dookie,green day,9/17/1994,,
5,dookie,green day,9/3/1994,,
6,dookie,green day,10/8/1994,,
7,dookie,green day,1/7/1995,,
7,dookie,green day,1/7/1995,,
7,dookie,green day,12/24/1994,,
8,dookie,green day,3/25/1995,,
8,dookie,green day,12/31/1994,,
8,dookie,green day,12/17/1994,,
8,dookie,green day,10/22/1994,,
8,dookie,green day,8/27/1994,,
9,dookie,green day,4/8/1995,,
9,dookie,green day,11/5/1994,,
9,dookie,green day,10/15/1994,,
